Brand,Device,CC Count,NRPN Count,PC Count,Total Parameters,MIDI Thru,MIDI Clock,Phantom Power
Modal Electronics,ARGON 8,117,0,0,117,No,No,None
Modal Electronics,008R,80,0,0,80,No,No,None
Modor,NF-1,106,0,0,106,No,No,None
Moog,Grandmother,75,0,0,75,No,No,None
Moog,Matriarch,112,0,0,112,Yes,Yes,None
Moog,Minitaur,74,0,0,74,No,No,None
Moog,Mother-32,9,0,0,9,No,No,None
Moog,muse,102,0,0,102,No,No,None
Moog,sirin,40,0,0,40,No,No,None
Moog,Sub Phatty,139,0,0,139,No,No,None
Moog,Subsequent 25,142,0,0,142,No,No,None
Moog,Subsequent 37,161,0,0,161,No,No,None
Moog,MF-108M Cluster Flux,65,0,0,65,No,No,None
Moog,MF-105M MIDI MuRF,42,0,0,42,No,No,None
Moog,Minimoog Voyager,96,0,0,96,No,No,None
Moog,Subharmonicon,12,0,0,12,No,No,None
Moog,MF-104M,29,0,0,29,No,No,None
Moog,Minimoog Voyager XL,186,0,0,186,No,No,None
Mutable Instruments,Shruthi,39,0,0,39,No,No,None
nux,tape_echo_ndd-7,16,0,0,16,No,No,None
Neural DSP,Quad Cortex,41,0,0,41,No,Yes,None
norand,mono,29,0,0,29,No,No,None
Nord,a1,55,0,0,55,No,No,None
Nord,C2D,57,0,0,57,No,No,None
Nord,Drum 2,36,0,0,36,No,No,None
Nord,drum_3p,36,0,0,36,No,No,None
Nord,Electro 3,62,0,0,62,No,No,None
Nord,electro_5,74,1,0,75,No,No,None
Nord,lead_(rack)_2x,42,0,0,42,No,No,None
Nord,lead_(rack),41,0,0,41,No,No,None
Nord,Stage 2,112,0,0,112,No,No,None
Nord,Stage 3,109,0,0,109,No,No,None
Nord,Wave 2,85,0,0,85,No,No,None
Nord,Lead 4R,90,0,0,90,No,No,None
Nord,Electro 6,77,0,0,77,No,No,None
Nord,Electro 3 HP,67,0,0,67,No,No,None
Nord,Electro 2,57,0,0,57,No,No,None
Nord,Electro 5HP 73,80,0,0,80,No,No,None
Nord,Rack 3,93,0,0,93,No,No,None
Nord,Piano 2 HA88,47,0,0,47,No,No,None
Nord,Lead,44,0,0,44,No,No,None
Nord,Grand,54,0,0,54,No,No,None
Nord,Lead A1R,58,0,0,58,No,No,None
Nord,Electro 5D 73,80,0,0,80,No,No,None
Nord,Electro 4 HP,68,0,0,68,No,No,None
Nord,Stage 2 EX,112,0,0,112,No,No,None
Nord,Piano 3,56,0,0,56,No,No,None
Nord,Piano 4,54,0,0,54,No,No,None
Nord,Lead 3,93,0,0,93,No,No,None
Nord,Lead 2,45,0,0,45,No,No,None
Nord,Lead 4,90,0,0,90,No,No,None
Nord,C2,44,0,0,44,No,No,None
Nord,C1,40,0,0,40,No,No,None
Nord,Wave,69,0,0,69,No,No,None
Nord,Piano,27,0,0,27,No,No,None
Nord,Stage,98,0,0,98,No,No,None
Nord,Lead A1,58,0,0,58,No,No,None
Nord,Electro 4 SW,68,0,0,68,No,No,None
Nord,Electro 4D,67,0,0,67,No,No,None
Nord,Lead 2X,45,0,0,45,No,No,None
Nord,Electro 5D 61 ,4,0,0,4,No,No,None
Nord,Piano 2 HP,47,0,0,47,No,No,None
Nord,Stage EX,98,0,0,98,No,No,None
Novation,Bass Station II,64,31,0,95,No,No,None
Novation,bass_station_rack,16,0,0,16,No,No,None
Novation,Circuit,113,256,0,369,No,No,None
Novation,nova,110,0,0,110,No,No,None
Novation,summit_and_peak,74,145,0,219,No,No,None
Novation,Bass Station Keyboard,7,0,0,7,No,No,None
Novation,UltraNova,114,0,0,114,No,No,None
Novation,Circuit Mono Station,150,0,0,150,No,No,None
Novation,Summit,57,0,0,57,No,No,None
Novation,Circuit Rhythm,64,0,0,64,Yes,Yes,None
Novation,Peak,59,0,0,59,No,No,None
Novation,MiniNova,104,0,0,104,No,No,None
oto_machines_fx,bam,12,0,0,12,No,No,None
oto_machines_fx,bim,20,0,0,20,No,No,None
oto_machines_fx,boum,13,0,0,13,No,No,None
oberheim,ob-6,57,17,0,74,No,No,None
oberheim,ob-x8,121,0,0,121,No,No,None
Oscillator Devices,Minerva,30,0,0,30,Yes,Yes,No
Oscillator Devices,Siren,95,0,0,95,Yes,Yes,No
Oscillator Devices,Goblin-EXP in EHX Pitch Fork,12,0,0,12,Yes,Yes,No
pioneer_dj,toraiz_as-1,38,0,0,38,No,No,None
poly,josh_smith_flat_v,34,0,0,34,No,No,None
poly,verbs,6,0,0,6,No,No,None
polyend,tracker,32,0,0,32,No,No,None
quilter,illumine_reverb,13,0,0,13,No,No,None
revv,d20,55,0,0,55,No,No,None
revv,g20,9,0,0,9,No,No,None
revv,generator,28,0,0,28,No,No,None
rjm,miniampgizmo,36,0,0,36,No,No,None
Red Panda,particle,33,0,0,33,No,No,None
Red Panda,raster,17,0,0,17,No,No,None
Red Panda,Raster 2,33,0,0,33,No,No,None
Red Panda,Tensor,18,0,0,18,No,No,None
Red Panda,Context 2,135,0,0,135,No,No,None
Red Panda,Bitmap 2,20,0,0,20,No,No,None
